Reading 1 X,Reading 1 Y,Slope (m),Intercept (c),Reading 2 X,Reading 2 Y,Slope (m),Intercept (c),Reading 3 X,Reading 3 Y,Slope (m),Intercept (c),Reading 4 X,Reading 4 Y,Slope (m),Intercept (c),Reading 5 X,Reading 5 Y,Slope (m),Intercept (c),Reading 6 X,Reading 6 Y,Slope (m),Intercept (c),Reading 7 X,Reading 7 Y,Slope (m),Intercept (c),Reading 8 X,Reading 8 Y,Slope (m),Intercept (c)
9792.0,0.0,0,0,10867.0,0.0,0,0,11062.0,0.0,0,0,10328.0,0.0,0,0,13597.0,0.0,0,0,47441.0,0.0,0,0,59740.0,0.0,0,0,972.0,0.0,0,0
9774.0,0.0,0.0,0.0,10929.0,0.0,0.0,0.0,11091.0,0.0,0.0,0.0,10346.0,0.0,0.0,0.0,13616.0,0.0,0.0,0.0,47419.0,0.0,0.0,0.0,59753.0,0.0,0.0,0.0,975.0,0.0,0.0,0.0
9775.0,0.0,0.0,0.0,10928.0,0.0,0.0,0.0,11107.0,0.0,0.0,0.0,10329.0,0.0,0.0,0.0,13625.0,0.0,0.0,0.0,47398.0,0.0,0.0,0.0,59695.0,0.0,0.0,0.0,982.0,0.0,0.0,0.0
9786.0,0.0,0.0,0.0,10972.0,0.0,0.0,0.0,11111.0,0.0,0.0,0.0,10359.0,0.0,0.0,0.0,13610.0,0.0,0.0,0.0,47394.0,0.0,0.0,0.0,59676.0,0.0,0.0,0.0,960.0,0.0,0.0,0.0
39683.0,286.0,0.009564814465424941,-93.56060560402796,44288.0,286.0,0.008572059808445656,-93.6408220372564,40497.0,286.0,0.00972646423850342,-107.8931133986616,41852.0,286.0,0.009076044048071505,-93.8507858832444,49996.0,286.0,0.007860594992208597,-106.9983966732469,47366.0,286.0,-3.3888818857947984,160702.40136146222,59606.0,286.0,-1.8416508122349373,109992.7035855523,968.0,286.0,-3.639221556886267,3592.339820359319
40673.0,297.0,0.009590601839660158,-93.81897993468579,46164.0,297.0,0.008495064815146619,-92.76599247038136,41765.0,297.0,0.009703594440250403,-107.63254579203819,42316.0,297.0,0.009184141432168511,-94.98087899668548,51975.0,297.0,0.007797288245153794,-106.10733833645183,47233.0,297.0,-1.6350836467936085,77559.52694745499,59473.0,297.0,-1.2752474701180305,76174.81753274305,968.0,297.0,-5.966887417218405,5890.019867549533
36979.0,264.0,0.009621870661442761,-94.06530391866517,41916.0,264.0,0.008501129929307048,-92.82041998193085,38118.0,264.0,0.009721179359401958,-107.79628866297601,38370.0,264.0,0.009245520801045843,-95.47726561305905,47285.0,264.0,0.007808703953059589,-106.23774715057854,47233.0,264.0,-1.4563966851393488,69088.45696810454,59459.0,264.0,-1.1095363752620166,66281.38601530234,963.0,264.0,-8.414570685169258,8280.729401561273
29614.0,199.0,0.009655649110860936,-93.83557049407001,33611.0,199.0,0.00852411115086159,-92.66162569461306,30761.0,199.0,0.009753950119553626,-107.62678697177098,30461.0,199.0,0.009293594881361677,-95.03904934204203,38137.0,199.0,0.007834033862825345,-106.07382292744312,47256.0,199.0,-1.3493302315111984,64011.41648531887,59397.0,199.0,-0.8402869361852967,50211.746360776655,968.0,199.0,-8.70180722891566,8567.152108433733
